IID,array,job,start,creative,adj_pgs,sexMale,job_sat
1121143,0,"solicitor, lawyer, barrister, judge, coroner, articled clerk, attorney, advocate, stipendiary magistrate, fiscal/crown prosecutor, sheriff (scottish courts), legal services recorder",1974,0,0.3093270206134814,1,0
1121395,0,"typist, shorthand typist, transcriber, stenographer",1966,0,-0.03985673739646556,0,3
1122085,0,"civil service administrative officer or assistant or clerk, tax collector, prison service clerk, law courts clerk",1986,0,-0.2956332925847459,0,4
1122145,2,"director or chief executive of private organisation/company, company chairman or president, general manager",2008,0,-0.09957479897761592,0,3
1123269,5,"registrar or senior administrator of educational establishment, bursar, registrar, university administrator",1994,0,-1.053061102677317,1,3
1131055,3,"furniture maker/fitter, cabinet maker",1982,-1,0.1241955711344414,1,3
1132954,2,"management consultant, actuary, economist, statistician, statistical controller/assistant, business analyst, demographer, economic forecaster",2009,1,-1.63184928318406,1,3
1135144,4,"senior official of special interest organisation including general manager or director or executive or general secretary of charity, or trade union/association or religious organisation",2002,0,2.5475526380432827,1,4
1136751,4,"call centre operator, sales order clerk, telephone adviser {72113242_3235}",1987,0,0.33541979533286753,1,3
1137198,3,"community worker, day centre officer, youth leader, youth worker, parish worker, bail support officer",2001,0,-1.397034501330366,0,3
1138841,0,civil service senior manager outside the senior civil service (former grades 6 and 7),1986,0,-0.6307140315279257,0,3
1139867,4,"further education teaching professional, college lecturer/professor",2007,1,0.644053765264456,1,5
1143021,3,"nurse (of any kind, at any level)",1989,-1,0.4133424756934994,0,4
1143888,0,"senior official in central government including members of the senior civil service and the equivalent in the diplomatic service, mps, meps",1984,0,-1.1156427104660152,0,4
1144013,5,"it strategy or planning professional, computer consultant, software consultant",2001,1,-0.08298156872862408,1,3
1144897,4,"nurse (of any kind, at any level)",1982,-1,0.286856214238539,0,5
1146139,6,"chiropodist, podiatrist",2005,0,0.545590969548244,1,5
1146998,0,local government administrative officer or assistant or clerk,1963,0,0.7750926544132114,0,4
1147229,1,"collector/door-to-door salesperson, canvasser, credit agent, insurance agent, travelling salesperson, commercial traveller",1984,0,0.4064300584886482,1,4
1147237,4,"director or chief executive of private organisation/company, company chairman or president, general manager",1983,0,-0.21778597938705757,1,4
1147692,2,vocational or industrial trainer/instructor {35633208_3199},2007,1,-0.93670306075908,1,0
1148427,2,"educational assistant, classroom assistant, special needs helper",2009,0,-0.6630928744789943,1,2
1149792,3,"nurse (of any kind, at any level)",1979,-1,-0.9940121958547136,0,3
1150944,1,nuclear power engineer,1987,0,1.2934324259064134,1,5
1151336,1,"director or chief executive of private organisation/company, company chairman or president, general manager",1984,0,-0.3031317034247102,1,3
1152533,0,medical secretary {42113298_3297},1964,0,-1.2773991813527688,0,4
1155245,3,local government administrative officer or assistant or clerk,1994,0,0.27802172083856974,0,3
1155801,0,"public service higher/senior executive officer, hospital administrator",1973,0,-0.16558960895241304,1,4
1158687,2,"other researchers including in broadcasting, journalism, photography, printing and publishing",1981,1,0.09602438324404693,1,4
1159309,0,police officer (sergeant or below),1976,0,-0.550137568315036,1,4
1159956,8,"education officer, director of education, curriculum development officer",2006,0,1.1117182528554108,1,3
1160461,0,"chartered surveyor, building surveyor, land surveyor, mining/minerals surveyor, river/water surveyor, surveyor and estimator, topographer, property surveyor",1981,0,-0.01584198642288209,1,4
1160686,3,"financial adviser/agent/consultant, investment analyst, mortgage consultant, financier, pension advisor",2003,0,-1.0487796992611047,0,4
1162498,1,"public service higher/senior executive officer, hospital administrator",1995,0,1.139066178976336,0,2
1163243,7,"retail/shop cashier, check-out operator, petrol station attendant, restaurant cashier",2002,-1,-1.506589669073854,0,4
1163519,2,"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",2000,1,-1.0047301046789363,1,2
1165219,0,local government administrative officer or assistant or clerk,1968,0,-1.1549945426597574,0,3
1165793,1,"civil service administrative officer or assistant or clerk, tax collector, prison service clerk, law courts clerk",2008,0,2.141544343384091,0,3
1167653,5,"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",1992,1,-0.6756498300326185,0,3
1168028,3,"librarian, assistant librarian {24513424_3419}",1974,1,-0.13252099505720435,0,4
1168791,3,"public service higher/senior executive officer, hospital administrator",2005,0,0.554376174013294,0,3
1170083,0,"motor mechanic, diesel fitter, auto engineer",1964,0,0.9098307623489564,1,5
